POSITION,TEAM_ID,TEAM_NAME,TEAM_SHORTNAME,TEAM_TLA,TEAM_CREST,PLAYED_GAMES,FORM,WON,DRAW,LOST,POINTS,GOALS_FOR,GOALS_AGAINST,GOAL_DIFFERENCE
1,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,24,,16,5,3,53,46,17,29
2,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,24,,14,5,5,47,49,23,26
3,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,24,,14,4,6,46,35,26,9
4,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,24,,11,8,5,41,44,36,8
5,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,24,,11,7,6,40,42,27,15
6,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,24,,11,6,7,39,39,33,6
7,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,24,,11,3,10,36,36,32,4
8,71,Sunderland AFC,Sunderland,SUN,https://crests.football-data.org/71.png,24,,9,9,6,36,27,26,1
9,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.png,24,,10,4,10,34,34,35,-1
10,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,24,,9,7,8,34,26,27,-1
11,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,24,,9,6,9,33,33,33,0
12,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png,24,,8,9,7,33,40,43,-3
13,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png,24,,7,10,7,31,34,32,2
14,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,24,,7,8,9,29,35,33,2
15,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,24,,7,8,9,29,25,29,-4
16,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.png,24,,6,8,10,26,31,42,-11
17,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,24,,7,5,12,26,24,35,-11
18,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,24,,5,5,14,20,29,48,-19
19,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,24,,3,6,15,15,25,47,-22
20,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.png,24,,1,5,18,8,15,45,-30
